NAME,ENUMERATION,UUID,FORCE,SUPERIOR OR OVERLAY,POINTS LAT,LONG,ALT,,,,,,,,,,,,,,,,,,,,,,,,,,,
EnCom 1,3:1:222:4:205:1:0,VRF_UUID:c33ac3ed-295f-4e5c-8b8f-e689ed568d7a,2,,29.9996021,33.0001284,0.194550894,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 94,16:0:0:1:0:0:0,VRF_UUID:c465307f-77f8-4cbc-8e70-e72eb8a04424,1,,29.999711,33.0008068,20.2630033,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 129,16:0:0:1:0:0:0,VRF_UUID:c5d5c7e4-4ddd-47a8-bd3d-f58f37978b6f,1,,29.999813,33.0012684,36.9535639,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suicide1,16:0:0:1:0:0:0,VRF_UUID:c6afe7d6-c4ef-4a31-81a7-836a5bc2d507,1,,29.9993852,33.0008575,20.5126056,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrain Draw Area 1,18:0:0:5:0:0:0,VRF_UUID:c7a80761-66cf-4a77-ae77-1910d77dd0e8,1,Tactical Graphics,30.0000407,32.9993325,12.2738141,29.9988439,32.9993488,12.2738771,29.9987751,33.0012414,12.2739598,30.0001626,33.0015097,12.2738995,,,,,,,,,,,,,,,,,,
Waypoint 62,16:0:0:1:0:0:0,VRF_UUID:c7d3707f-5542-41e1-9d26-168cb80fcc87,1,,29.9993149,33.0003468,20.0047072,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 102,16:0:0:1:0:0:0,VRF_UUID:c8fc464f-4ecc-46e1-a7a3-6988439de1db,1,,29.999813,33.0009218,23.142133,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 92,16:0:0:1:0:0:0,VRF_UUID:c95ff581-d52a-4fa5-b9a8-13d0704abe11,1,,29.9999112,33.0008068,30.0797399,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 85,16:0:0:1:0:0:0,VRF_UUID:c9cb0fce-5454-4ea5-b73f-0cc6809359dd,1,,29.9997136,33.0006933,20.6392822,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 40,16:0:0:1:0:0:0,VRF_UUID:c9df23b8-836e-43df-9b74-68b7d9fdcb4e,1,,29.999715,33.0001152,20.0048918,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suicide,1:2:225:50:127:1:2,VRF_UUID:cb5284fa-66e9-45a7-8d9b-8e43f2a37013,1,,29.9966709,32.9994617,2.12602784,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 111,16:0:0:1:0:0:0,VRF_UUID:cff3f8ce-5493-4a8d-afe1-74f1b30a6132,1,,29.9998157,33.0010383,26.4655833,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 10,16:0:0:1:0:0:0,VRF_UUID:d48b3fc6-be74-4bed-8d94-52d026f16743,1,,30.0000132,32.9997686,27.9949974,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 113,16:0:0:1:0:0:0,VRF_UUID:d5f11ad8-1557-415e-928f-091ec210f8ad,1,,29.9996155,33.0010383,29.2629537,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPG,3:1:102:4:246:1:0,VRF_UUID:d7742c40-cd7f-4f0d-9e48-a7a8a2b42459,2,,29.999769,33.0000498,0.384443885,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 13,16:0:0:1:0:0:0,VRF_UUID:dac4ea8c-b716-4d99-8f2e-0af8f1ea74ce,1,,29.9997149,32.9997686,27.3749036,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 38,16:0:0:1:0:0:0,VRF_UUID:dae66801-eb56-4293-adbc-5fc4efa81060,1,,29.9999151,33.0001152,20.2348269,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 15,16:0:0:1:0:0:0,VRF_UUID:db4b9060-fc57-4f51-997c-1a30cd625120,1,,29.9995161,32.9997686,17.9613848,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 9,16:0:0:1:0:0:0,VRF_UUID:dbb20113-d80b-47eb-a199-f8f14b22ca3d,1,,29.9992164,32.9996544,26.9021436,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 103,16:0:0:1:0:0:0,VRF_UUID:dc04aba1-989e-447c-9c83-051d84d10677,1,,29.9997123,33.0009218,26.7119956,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 72,16:0:0:1:0:0:0,VRF_UUID:de57d0df-8440-4c32-9da6-cd31333535e3,1,,29.9992168,33.0004602,32.128792,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 123,16:0:0:1:0:0:0,VRF_UUID:decc8ac4-4868-42be-b494-8ca399793034,1,,29.9995134,33.0011518,37.585336,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGV,1:1:225:2:5:19:0,VRF_UUID:e023c156-6eee-4a0f-9b81-c8412ba02886,1,,29.996738,32.9995218,1.01453949,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 124,16:0:0:1:0:0:0,VRF_UUID:e08d7ce8-ff34-44e0-8b04-d3bff9305eb1,1,,29.999414,33.0011518,39.3644936,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 66,16:0:0:1:0:0:0,VRF_UUID:e27b2a71-0c50-48f4-9511-6dc14dbccbed,1,,29.9998144,33.0004602,20.0046895,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 5,16:0:0:1:0:0:0,VRF_UUID:e2fca4ab-5883-47f4-8a17-e42f98fab326,1,,29.9996138,32.9996544,35.129181,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 115,16:0:0:1:0:0:0,VRF_UUID:e43c9981-bad0-40c8-922a-f4634f9f8c14,1,,29.9994166,33.0010383,29.3062774,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 128,16:0:0:1:0:0:0,VRF_UUID:e771fd14-82ef-4d7c-8019-cc21bec01786,1,,29.9999124,33.0012684,37.0761128,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 41,16:0:0:1:0:0:0,VRF_UUID:ed5bb328-1306-47a9-8071-07262c39d759,1,,29.9996155,33.0001152,20.0046899,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 122,16:0:0:1:0:0:0,VRF_UUID:f26af88a-312a-4664-b409-6b882eca1f0f,1,,29.9996129,33.0011518,35.5269632,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 101,16:0:0:1:0:0:0,VRF_UUID:f508b0e1-e06f-43a4-af60-ca2497d2477c,1,,29.9999125,33.0009218,23.0488373,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 51,16:0:0:1:0:0:0,VRF_UUID:fd7cfeb3-ccf6-4633-a0e6-f15b6a82f86d,1,,29.9995161,33.0002302,19.618019,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 47,16:0:0:1:0:0:0,VRF_UUID:ff95ee12-951d-454b-b92d-ebae7ffae6d1,1,,29.9999152,33.0002302,19.6180149,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 12,16:0:0:1:0:0:0,VRF_UUID:ffce7a39-296e-4115-abd5-a78512fc8a62,1,,29.9998157,32.9997686,29.5889385,,,,,,,,,,,,,,,,,,,,,,,,,,,
